obs_no;no;paper;title;country;X;Y;year;growth_season;N_fert_min;N_fert_man;N_fix;N_dep_image;N_dep_emep;N_cs;N_spm;N_min;N_hc;N_res;N_place;N_place_depth;N_source;N_time_splits;N_timing1;N_timing2;N_timing3;crop_type;rotation;mn_prec;Prec_avg_crop_gr;Prec_var;tot_prec_crop_gr;Temp_avg_cp_season;ET_avg_gr;irrigation;Depth ;Texture;SOM ;pH;clay;CaCo3 ;N_av_soil ;Total_N ;P_dose;K_dose;ind_type;ind_unit;NUE_value;se_NUE;LSD_NUE;sd_NUE;N_up_fert;LSD_fertup;sd_fertup;se_fertup;n_rep_t;N_up_unfert;LSD_unfertup;sd_unfertup;se_unfertup;n_rep_c;N_appl;n_dose_env;XCEC;xnit;XPH;XSOC;XSAND;XSILT;XCLAY;LATNR;LONNR;pot_eva;mn_temp;prec_mn;xsom
1292;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;109,6;;;11,60101395;;;;;;;;;;;24;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1293;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;88,8;;;9,401089231;;;;;;;;;;;24;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1294;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;106;;;11,21302017;;;;;;;;;;;24;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1295;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;88,8;;;9,401089231;;;;;;;;;;;24;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1296;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;114;;;12,05884661;;;;;;;;;;;24;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1297;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;88,8;;;9,401089231;;;;;;;;;;;24;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1298;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;118,3;;;12,51667927;;;;;;;;;;;24;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1299;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;88,8;;;9,401089231;;;;;;;;;;;24;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1300;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;114,4;;;12,10152592;;;;;;;;;;;24;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1301;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;88,8;;;9,401089231;;;;;;;;;;;24;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1302;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;118,1;;;12,49727958;;;;;;;;;;;24;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1303;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;110;;;11,63593339;;;;;;;;;;;24;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1304;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;118,2;;;12,50503945;;;;;;;;;;;24;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1305;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;110;;;11,63593339;;;;;;;;;;;24;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1306;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;134,3;;;14,21609201;;;;;;;;;;;24;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1307;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;110;;;11,63593339;;;;;;;;;;;24;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1308;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;146,6;;;15,51199123;;;;;;;;;;;24;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1309;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;110;;;11,63593339;;;;;;;;;;;24;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1310;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;146,7;;;15,52751098;;;;;;;;;;;24;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1311;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;110;;;11,63593339;;;;;;;;;;;24;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1312;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;138;;;14,60020585;;;;;;;;;;;24;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1313;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;110;;;11,63593339;;;;;;;;;;;24;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1314;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;136,2;;;20,71321768;;;;;;;;;;;20;;-51,18;-23,18;146,67;2,07;5,32;27,95;23,83;;;3202,01;21,49;129,11;55,9
1315;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;115,6;;;17,58783071;;;;;;;;;;;20;;-51,18;-23,18;146,67;2,07;5,32;27,95;23,83;;;3202,01;21,49;129,11;55,9
1316;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;132,8;;;20,20458939;;;;;;;;;;;20;;-51,18;-23,18;146,67;2,07;5,32;27,95;23,83;;;3202,01;21,49;129,11;55,9
1317;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;115,6;;;17,58783071;;;;;;;;;;;20;;-51,18;-23,18;146,67;2,07;5,32;27,95;23,83;;;3202,01;21,49;129,11;55,9
1318;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;128,9;;;19,60226642;;;;;;;;;;;20;;-51,18;-23,18;146,67;2,07;5,32;27,95;23,83;;;3202,01;21,49;129,11;55,9
1319;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;115,6;;;17,58783071;;;;;;;;;;;20;;-51,18;-23,18;146,67;2,07;5,32;27,95;23,83;;;3202,01;21,49;129,11;55,9
1320;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;133,8;;;20,34513142;;;;;;;;;;;20;;-51,18;-23,18;146,67;2,07;5,32;27,95;23,83;;;3202,01;21,49;129,11;55,9
1321;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;115,6;;;17,58783071;;;;;;;;;;;20;;-51,18;-23,18;146,67;2,07;5,32;27,95;23,83;;;3202,01;21,49;129,11;55,9
1322;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;141,8;;;21,56316231;;;;;;;;;;;20;;-51,18;-23,18;146,67;2,07;5,32;27,95;23,83;;;3202,01;21,49;129,11;55,9
1323;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;115,6;;;17,58783071;;;;;;;;;;;20;;-51,18;-23,18;146,67;2,07;5,32;27,95;23,83;;;3202,01;21,49;129,11;55,9
1324;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;132,6;;;20,171127;;;;;;;;;;;20;;-51,18;-23,18;146,67;2,07;5,32;27,95;23,83;;;3202,01;21,49;129,11;55,9
1325;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;115,6;;;17,58783071;;;;;;;;;;;20;;-51,18;-23,18;146,67;2,07;5,32;27,95;23,83;;;3202,01;21,49;129,11;55,9
1326;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;119,3;;;18,14999882;;;;;;;;;;;20;;-51,18;-23,18;146,67;2,07;5,32;27,95;23,83;;;3202,01;21,49;129,11;55,9
1327;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;104,1;;;15,83440162;;;;;;;;;;;20;;-51,18;-23,18;146,67;2,07;5,32;27,95;23,83;;;3202,01;21,49;129,11;55,9
1328;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;126,7;;;19,27433503;;;;;;;;;;;20;;-51,18;-23,18;146,67;2,07;5,32;27,95;23,83;;;3202,01;21,49;129,11;55,9
1329;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;104,1;;;15,83440162;;;;;;;;;;;20;;-51,18;-23,18;146,67;2,07;5,32;27,95;23,83;;;3202,01;21,49;129,11;55,9
1330;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;117,9;;;17,93583954;;;;;;;;;;;20;;-51,18;-23,18;146,67;2,07;5,32;27,95;23,83;;;3202,01;21,49;129,11;55,9
1331;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;104,1;;;15,83440162;;;;;;;;;;;20;;-51,18;-23,18;146,67;2,07;5,32;27,95;23,83;;;3202,01;21,49;129,11;55,9
1332;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;117,7;;;17,90237715;;;;;;;;;;;20;;-51,18;-23,18;146,67;2,07;5,32;27,95;23,83;;;3202,01;21,49;129,11;55,9
1333;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;104,1;;;15,83440162;;;;;;;;;;;20;;-51,18;-23,18;146,67;2,07;5,32;27,95;23,83;;;3202,01;21,49;129,11;55,9
1334;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;122,1;;;18,5716249;;;;;;;;;;;20;;-51,18;-23,18;146,67;2,07;5,32;27,95;23,83;;;3202,01;21,49;129,11;55,9
1335;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;104,1;;;15,83440162;;;;;;;;;;;20;;-51,18;-23,18;146,67;2,07;5,32;27,95;23,83;;;3202,01;21,49;129,11;55,9
1336;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;117,1;;;17,80868247;;;;;;;;;;;20;;-51,18;-23,18;146,67;2,07;5,32;27,95;23,83;;;3202,01;21,49;129,11;55,9
1337;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;104,1;;;15,83440162;;;;;;;;;;;20;;-51,18;-23,18;146,67;2,07;5,32;27,95;23,83;;;3202,01;21,49;129,11;55,9
1338;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;121,5;;;18,48462269;;;;;;;;;;;20;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1339;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;102,1;;;15,53324014;;;;;;;;;;;20;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1340;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;102,2;;;15,53993262;;;;;;;;;;;20;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1341;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;102,1;;;15,53324014;;;;;;;;;;;20;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1342;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;107,4;;;16,33633743;;;;;;;;;;;20;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1343;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;102,1;;;15,53324014;;;;;;;;;;;20;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1344;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;126,9;;;19,29441246;;;;;;;;;;;20;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1345;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;102,1;;;15,53324014;;;;;;;;;;;20;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1346;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;121,9;;;18,54485499;;;;;;;;;;;20;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1347;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;102,1;;;15,53324014;;;;;;;;;;;20;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1348;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;117,1;;;17,81537495;;;;;;;;;;;20;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1349;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;102,1;;;15,53324014;;;;;;;;;;;20;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1350;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;96,8;;;14,73014285;;;;;;;;;;;20;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1351;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;88,6;;;13,47864956;;;;;;;;;;;20;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1352;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;92,4;;;14,0608951;;;;;;;;;;;20;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1353;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;88,6;;;13,47864956;;;;;;;;;;;20;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1354;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;93,1;;;14,15458979;;;;;;;;;;;20;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1355;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;88,6;;;13,47864956;;;;;;;;;;;20;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1356;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;97,9;;;14,8907623;;;;;;;;;;;20;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1357;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;88,6;;;13,47864956;;;;;;;;;;;20;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1358;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;99,1;;;15,07145919;;;;;;;;;;;20;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1359;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;88,6;;;13,47864956;;;;;;;;;;;20;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1360;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;98,5;;;14,97776451;;;;;;;;;;;20;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1361;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;88,6;;;13,47864956;;;;;;;;;;;20;;-50,02;-25,22;197,67;2,21;5,05;25,93;39,22;;;2644,83;19,03;136,42;51,87
1362;27;Puente 2013;;Argentina;-58,22;-32,45;;;79,76;0;;;;;;;;;;;mineral;;;;;Paddy;;;;;;;;;;NA;NA;NA;;;NA;;14;0;NUE(yield/Nrate);;116,1;;;17,5280143;;;;;;;;;;;79,76;;-58,22;-32,45;246;1,84;5,75;21,73;46,43;;;3434,48;18,47;103,41;43,47
1363;27;Puente 2013;;Argentina;-58,22;-32,45;;;79,76;0;;;;;;;;;;;mineral;;;;;Paddy;;;;;;;;;;NA;NA;NA;;;NA;;14;0;NUE(yield/Nrate);;109,4;;;10,65664694;;;;;;;;;;;79,76;;-58,22;-32,45;246;1,84;5,75;21,73;46,43;;;3434,48;18,47;103,41;43,47
1364;27;Puente 2013;;Argentina;-58,22;-32,45;;;79,76;0;;;;;;;;;;;mineral;;;;;Paddy;;;;;;;;;;NA;NA;NA;;;NA;;14;0;NUE(yield/Nrate);;117;;;13,2123134;;;;;;;;;;;79,76;;-58,22;-32,45;246;1,84;5,75;21,73;46,43;;;3434,48;18,47;103,41;43,47
1365;27;Puente 2013;;Argentina;-58,22;-32,45;;;79,76;0;;;;;;;;;;;mineral;;;;;Paddy;;;;;;;;;;NA;NA;NA;;;NA;;14;0;NUE(yield/Nrate);;109,4;;;10,65664694;;;;;;;;;;;79,76;;-58,22;-32,45;246;1,84;5,75;21,73;46,43;;;3434,48;18,47;103,41;43,47
1366;27;Puente 2013;;Argentina;-58,22;-32,45;;;79,76;0;;;;;;;;;;;mineral;;;;;Paddy;;;;;;;;;;NA;NA;NA;;;NA;;14;0;NUE(yield/Nrate);;113,9;;;10,10211553;;;;;;;;;;;79,76;;-58,22;-32,45;246;1,84;5,75;21,73;46,43;;;3434,48;18,47;103,41;43,47
1367;27;Puente 2013;;Argentina;-58,22;-32,45;;;79,76;0;;;;;;;;;;;mineral;;;;;Paddy;;;;;;;;;;NA;NA;NA;;;NA;;14;0;NUE(yield/Nrate);;109,4;;;10,65664694;;;;;;;;;;;79,76;;-58,22;-32,45;246;1,84;5,75;21,73;46,43;;;3434,48;18,47;103,41;43,47
1368;27;Puente 2013;;Argentina;-58,22;-32,45;;;79,76;0;;;;;;;;;;;mineral;;;;;Paddy;;;;;;;;;;NA;NA;NA;;;NA;;14;0;NUE(yield/Nrate);;117,3;;;6,991917673;;;;;;;;;;;79,76;;-58,22;-32,45;246;1,84;5,75;21,73;46,43;;;3434,48;18,47;103,41;43,47
