obs_no;no;paper;title;country;X;Y;year;growth_season;N_fert_min;N_fert_man;N_fix;N_dep_image;N_dep_emep;N_cs;N_spm;N_min;N_hc;N_res;N_place;N_place_depth;N_source;N_time_splits;N_timing1;N_timing2;N_timing3;crop_type;rotation;mn_prec;Prec_avg_crop_gr;Prec_var;tot_prec_crop_gr;Temp_avg_cp_season;ET_avg_gr;irrigation;Depth ;Texture;SOM ;pH;clay;CaCo3 ;N_av_soil ;Total_N ;P_dose;K_dose;ind_type;ind_unit;NUE_value;se_NUE;LSD_NUE;sd_NUE;N_up_fert;LSD_fertup;sd_fertup;se_fertup;n_rep_t;N_up_unfert;LSD_unfertup;sd_unfertup;se_unfertup;n_rep_c;N_appl;n_dose_env;XCEC;xnit;XPH;XSOC;XSAND;XSILT;XCLAY;LATNR;LONNR;pot_eva;mn_temp;prec_mn;xsom
3330;31;Fofana et al ;;Togo;1,63;6,47;;;100;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy;;5,7;;;;0,3;;;NUEagr;%;15;;;;31,3;;;;4;16,3;;;;4;100;;158,5;2,73;6,03;36,03;58,48;16,6;24,95;;;1258,41;27,65;1118,06;72,07
3331;31;Fofana et al ;;Togo;1,63;6,47;;;20;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy;;5,7;;;;0,3;;;NUEagr;%;25;;;;21,3;;;;4;16,3;;;;4;20;;158,5;2,73;6,03;36,03;58,48;16,6;24,95;;;1258,41;27,65;1118,06;72,07
3332;31;Fofana et al ;;Togo;1,63;6,47;;;40;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy;;5,7;;;;0,3;;;NUEagr;%;3,1;;;;17,5;;;;4;16,3;;;;4;40;;158,5;2,73;6,03;36,03;58,48;16,6;24,95;;;1258,41;27,65;1118,06;72,07
3333;31;Fofana et al ;;Togo;1,63;6,47;;;50;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy;;5,7;;;;0,3;20;;NUEagr;%;35;;;;33,8;;;;4;16,3;;;;4;50;;158,5;2,73;6,03;36,03;58,48;16,6;24,95;;;1258,41;27,65;1118,06;72,07
3334;31;Fofana et al ;;Togo;1,63;6,47;;;100;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy;;5,7;;;;0,3;20;;NUEagr;%;20;;;;36,3;;;;4;16,3;;;;4;100;;158,5;2,73;6,03;36,03;58,48;16,6;24,95;;;1258,41;27,65;1118,06;72,07
3335;31;Fofana et al ;;Togo;1,63;6,47;;;50;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy;;5,7;;;;0,3;40;;NUEagr;%;22,5;;;;27,5;;;;4;16,3;;;;4;50;;158,5;2,73;6,03;36,03;58,48;16,6;24,95;;;1258,41;27,65;1118,06;72,07
3336;31;Fofana et al ;;Togo;1,63;6,47;;;100;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy;;5,7;;;;0,3;40;;NUEagr;%;17,5;;;;33,8;;;;4;16,3;;;;4;100;;158,5;2,73;6,03;36,03;58,48;16,6;24,95;;;1258,41;27,65;1118,06;72,07
3337;31;Fofana et al ;;Togo;1,63;6,47;;;50;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy;;5,7;;;;0,3;;;NUEagr;%;12,5;;;;41,3;;;;4;35;;;;4;50;;158,5;2,73;6,03;36,03;58,48;16,6;24,95;;;1258,41;27,65;1118,06;72,07
3338;31;Fofana et al ;;Togo;1,63;6,47;;;100;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy;;5,7;;;;0,3;;;NUEagr;%;16,3;;;;51,3;;;;4;35;;;;4;100;;158,5;2,73;6,03;36,03;58,48;16,6;24,95;;;1258,41;27,65;1118,06;72,07
3339;31;Fofana et al ;;Togo;1,63;6,47;;;20;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy;;5,7;;;;0,3;;;NUEagr;%;0;;;;35;;;;4;35;;;;4;20;;158,5;2,73;6,03;36,03;58,48;16,6;24,95;;;1258,41;27,65;1118,06;72,07
3340;31;Fofana et al ;;Togo;1,63;6,47;;;40;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy;;5,7;;;;0,3;;;NUEagr;%;-9,4;;;;31,3;;;;4;35;;;;4;40;;158,5;2,73;6,03;36,03;58,48;16,6;24,95;;;1258,41;27,65;1118,06;72,07
