obs_no;no,;paper;title;country;X;Y;year;growth_season;N_fert_min;N_fert_man;N_fix;N_dep_image;N_dep_emep;N_cs;N_spm;N_min;N_hc;N_res;N_place;N_place_depth;N_source;N_time_splits;N_timing1;N_timing2;N_timing3;crop_type;rotation;mn_prec;Prec_avg_crop_gr;Prec_var;tot_prec_crop_gr;Temp_avg_cp_season;ET_avg_gr;irrigation;Depth ;Texture;SOM ;pH;clay;CaCo3 ;N_av_soil ;Total_N ;P_dose;K_dose;ind_type;ind_unit;NUE_value;se_NUE;LSD_NUE;sd_NUE;N_up_fert;LSD_fertup;sd_fertup;se_fertup;n_rep_t;N_up_unfert;LSD_unfertup;sd_unfertup;se_unfertup;n_rep_c;N_appl;n_dose_env;XCEC;xnit;XPH;XSOC;XSAND;XSILT;XCLAY;LATNR;LONNR;pot_eva;mn_temp;prec_mn;xsom
1668;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;watermelon;;;;;;;;;;clay loam;0,15;7,56;;;NA;;0;0;NUE(yield/Nrate);;7,7;;;5,216;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1669;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;watermelon;;;;;;;;;;clay loam;0,15;7,56;;;NA;;0;0;NUE(yield/Nrate);;7,0;;;5,352;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1670;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;watermelon;;;;;;;;;;clay loam;0,15;7,56;;;NA;;43,64;0;NUE(yield/Nrate);;4,8;;;0,236;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1671;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;watermelon;;;;;;;;;;clay loam;0,15;7,56;;;NA;;43,64;0;NUE(yield/Nrate);;7,4;;;2,216;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1672;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;watermelon;;;;;;;;;;clay loam;0,15;7,56;;;NA;;0;0;NUE(yield/Nrate);;2,4;;;0,944;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1673;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;watermelon;;;;;;;;;;clay loam;0,15;7,56;;;NA;;0;0;NUE(yield/Nrate);;2,4;;;0,636;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1674;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;watermelon;;;;;;;;;;clay loam;0,15;7,56;;;NA;;43,64;0;NUE(yield/Nrate);;8,5;;;1,244;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1675;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;watermelon;;;;;;;;;;clay loam;0,15;7,56;;;NA;;43,64;0;NUE(yield/Nrate);;12,2;;;6,796;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1676;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;watermelon;;;;;;;;;;clay loam;0,15;7,56;;;NA;;0;0;NUE(yield/Nrate);;5,0;;;0,804;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1677;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;watermelon;;;;;;;;;;clay loam;0,15;7,56;;;NA;;0;0;NUE(yield/Nrate);;3,5;;;3,856;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1678;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;watermelon;;;;;;;;;;clay loam;0,15;7,56;;;NA;;43,64;0;NUE(yield/Nrate);;4,5;;;1,26;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1679;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;watermelon;;;;;;;;;;clay loam;0,15;7,56;;;NA;;43,64;0;NUE(yield/Nrate);;3,1;;;1,988;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1680;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;cucumber;;;;;;;;;;clay loam;0,15;7,56;;;NA;;0;0;NUE(yield/Nrate);;5,0;;;0,222;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1681;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;cucumber;;;;;;;;;;clay loam;0,15;7,56;;;NA;;0;0;NUE(yield/Nrate);;4,1;;;0,4;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1682;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;cucumber;;;;;;;;;;clay loam;0,15;7,56;;;NA;;43,64;0;NUE(yield/Nrate);;5,2;;;0,206;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1683;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;cucumber;;;;;;;;;;clay loam;0,15;7,56;;;NA;;43,64;0;NUE(yield/Nrate);;5,2;;;0,28;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1684;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;cucumber;;;;;;;;;;clay loam;0,15;7,56;;;NA;;0;0;NUE(yield/Nrate);;5,7;;;0,328;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1685;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;cucumber;;;;;;;;;;clay loam;0,15;7,56;;;NA;;0;0;NUE(yield/Nrate);;4,9;;;0,834;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1686;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;cucumber;;;;;;;;;;clay loam;0,15;7,56;;;NA;;43,64;0;NUE(yield/Nrate);;6,8;;;0,214;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1687;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;cucumber;;;;;;;;;;clay loam;0,15;7,56;;;NA;;43,64;0;NUE(yield/Nrate);;6,7;;;0,86;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1688;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;cucumber;;;;;;;;;;clay loam;0,15;7,56;;;NA;;0;0;NUE(yield/Nrate);;3,5;;;0,08;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1689;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;cucumber;;;;;;;;;;clay loam;0,15;7,56;;;NA;;0;0;NUE(yield/Nrate);;2,7;;;0,1;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1690;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;cucumber;;;;;;;;;;clay loam;0,15;7,56;;;NA;;43,64;0;NUE(yield/Nrate);;2,7;;;0,164;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1691;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;cucumber;;;;;;;;;;clay loam;0,15;7,56;;;NA;;43,64;0;NUE(yield/Nrate);;2,9;;;0,346;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1692;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;clay loam;0,15;7,56;;;NA;;0;0;NUE(yield/Nrate);;54,0;;;3,344;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1693;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;clay loam;0,15;7,56;;;NA;;0;0;NUE(yield/Nrate);;47,5;;;0,264;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1694;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;clay loam;0,15;7,56;;;NA;;43,64;0;NUE(yield/Nrate);;72,3;;;0,264;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1695;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;clay loam;0,15;7,56;;;NA;;43,64;0;NUE(yield/Nrate);;58,3;;;3,388;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1696;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;clay loam;0,15;7,56;;;NA;;0;0;NUE(yield/Nrate);;54,1;;;1,672;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1697;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;clay loam;0,15;7,56;;;NA;;0;0;NUE(yield/Nrate);;44,3;;;19,36;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1698;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;clay loam;0,15;7,56;;;NA;;43,64;0;NUE(yield/Nrate);;45,1;;;9,812;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1699;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;clay loam;0,15;7,56;;;NA;;43,64;0;NUE(yield/Nrate);;50,3;;;7,7;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1700;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;clay loam;0,15;7,56;;;NA;;0;0;NUE(yield/Nrate);;40,0;;;4,136;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1701;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;clay loam;0,15;7,56;;;NA;;0;0;NUE(yield/Nrate);;35,3;;;9,152;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1702;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;clay loam;0,15;7,56;;;NA;;43,64;0;NUE(yield/Nrate);;36,7;;;3,256;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1703;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;clay loam;0,15;7,56;;;NA;;43,64;0;NUE(yield/Nrate);;35,6;;;5,72;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1704;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;Cotton;;;;;;;;;;clay loam;0,15;7,56;;;NA;;0;0;NUE(yield/Nrate);;20,7;;;1,144;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1705;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;Cotton;;;;;;;;;;clay loam;0,15;7,56;;;NA;;0;0;NUE(yield/Nrate);;15,0;;;1,76;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1706;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;Cotton;;;;;;;;;;clay loam;0,15;7,56;;;NA;;43,64;0;NUE(yield/Nrate);;22,7;;;1,848;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1707;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;Cotton;;;;;;;;;;clay loam;0,15;7,56;;;NA;;43,64;0;NUE(yield/Nrate);;21,0;;;1,452;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1708;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;Cotton;;;;;;;;;;clay loam;0,15;7,56;;;NA;;0;0;NUE(yield/Nrate);;19,7;;;2,42;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1709;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;Cotton;;;;;;;;;;clay loam;0,15;7,56;;;NA;;0;0;NUE(yield/Nrate);;17,8;;;1,672;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1710;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;Cotton;;;;;;;;;;clay loam;0,15;7,56;;;NA;;43,64;0;NUE(yield/Nrate);;20,2;;;2,728;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1711;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;Cotton;;;;;;;;;;clay loam;0,15;7,56;;;NA;;43,64;0;NUE(yield/Nrate);;21,0;;;4,004;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1712;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;Cotton;;;;;;;;;;clay loam;0,15;7,56;;;NA;;0;0;NUE(yield/Nrate);;15,0;;;1,232;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1713;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;Cotton;;;;;;;;;;clay loam;0,15;7,56;;;NA;;0;0;NUE(yield/Nrate);;14,9;;;0,088;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1714;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;Cotton;;;;;;;;;;clay loam;0,15;7,56;;;NA;;43,64;0;NUE(yield/Nrate);;14,1;;;0,66;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1715;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;Cotton;;;;;;;;;;clay loam;0,15;7,56;;;NA;;43,64;0;NUE(yield/Nrate);;16,0;;;1,672;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1716;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;Horsebean;;;;;;;;;;clay loam;0,15;7,56;;;NA;;0;0;NUE(yield/Nrate);;17,8;;;0,924;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1717;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;Horsebean;;;;;;;;;;clay loam;0,15;7,56;;;NA;;0;0;NUE(yield/Nrate);;13,5;;;0,264;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1718;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;Horsebean;;;;;;;;;;clay loam;0,15;7,56;;;NA;;43,64;0;NUE(yield/Nrate);;15,4;;;3,08;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1719;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;Horsebean;;;;;;;;;;clay loam;0,15;7,56;;;NA;;43,64;0;NUE(yield/Nrate);;13,4;;;2,068;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1720;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;Horsebean;;;;;;;;;;clay loam;0,15;7,56;;;NA;;0;0;NUE(yield/Nrate);;18,3;;;0,616;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1721;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;Horsebean;;;;;;;;;;clay loam;0,15;7,56;;;NA;;0;0;NUE(yield/Nrate);;13,9;;;0,836;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1722;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;Horsebean;;;;;;;;;;clay loam;0,15;7,56;;;NA;;43,64;0;NUE(yield/Nrate);;14,6;;;1,364;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1723;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;Horsebean;;;;;;;;;;clay loam;0,15;7,56;;;NA;;43,64;0;NUE(yield/Nrate);;13,5;;;1,936;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1724;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;Horsebean;;;;;;;;;;clay loam;0,15;7,56;;;NA;;0;0;NUE(yield/Nrate);;19,1;;;1,012;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1725;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;Horsebean;;;;;;;;;;clay loam;0,15;7,56;;;NA;;0;0;NUE(yield/Nrate);;13,1;;;3,08;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1726;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;Horsebean;;;;;;;;;;clay loam;0,15;7,56;;;NA;;43,64;0;NUE(yield/Nrate);;19,2;;;0,572;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1727;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;Horsebean;;;;;;;;;;clay loam;0,15;7,56;;;NA;;43,64;0;NUE(yield/Nrate);;13,5;;;3,432;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1728;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;chickpea;;;;;;;;;;clay loam;0,15;7,56;;;NA;;0;0;NUE(yield/Nrate);;24,2;;;0,616;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1729;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;chickpea;;;;;;;;;;clay loam;0,15;7,56;;;NA;;0;0;NUE(yield/Nrate);;20,8;;;6,556;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1730;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;chickpea;;;;;;;;;;clay loam;0,15;7,56;;;NA;;43,64;0;NUE(yield/Nrate);;33,2;;;9,108;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1731;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;chickpea;;;;;;;;;;clay loam;0,15;7,56;;;NA;;43,64;0;NUE(yield/Nrate);;24,2;;;11,396;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1732;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;chickpea;;;;;;;;;;clay loam;0,15;7,56;;;NA;;0;0;NUE(yield/Nrate);;21,6;;;4,356;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1733;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;chickpea;;;;;;;;;;clay loam;0,15;7,56;;;NA;;0;0;NUE(yield/Nrate);;21,3;;;7,392;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1734;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;chickpea;;;;;;;;;;clay loam;0,15;7,56;;;NA;;43,64;0;NUE(yield/Nrate);;33,2;;;9,064;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1735;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;chickpea;;;;;;;;;;clay loam;0,15;7,56;;;NA;;43,64;0;NUE(yield/Nrate);;24,2;;;11,396;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1736;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;chickpea;;;;;;;;;;clay loam;0,15;7,56;;;NA;;0;0;NUE(yield/Nrate);;19,1;;;1,364;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1737;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;chickpea;;;;;;;;;;clay loam;0,15;7,56;;;NA;;0;0;NUE(yield/Nrate);;9,2;;;0,704;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1738;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;chickpea;;;;;;;;;;clay loam;0,15;7,56;;;NA;;43,64;0;NUE(yield/Nrate);;23,1;;;4,224;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1739;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;chickpea;;;;;;;;;;clay loam;0,15;7,56;;;NA;;43,64;0;NUE(yield/Nrate);;18,1;;;2,904;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1740;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;soybean;;;;;;;;;;clay loam;0,15;7,56;;;NA;;0;0;NUE(yield/Nrate);;10,6;;;1,408;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1741;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;soybean;;;;;;;;;;clay loam;0,15;7,56;;;NA;;0;0;NUE(yield/Nrate);;8,8;;;0,924;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1742;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;soybean;;;;;;;;;;clay loam;0,15;7,56;;;NA;;43,64;0;NUE(yield/Nrate);;17,2;;;0,396;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
1743;27;Ortas 2012;;Turkey;35,36;37,02;;;200;0;;;;;;;;;;;mineral;;;;;soybean;;;;;;;;;;clay loam;0,15;7,56;;;NA;;43,64;0;NUE(yield/Nrate);;14,1;;;2,376;;;;;;;;;;;200;;35,36;37,02;225,74;1,38;6,28;18,82;23,80;33,53;33,24;3412,93;18,97;71,29;37,64
