obs_no;no;paper;title;country;X;Y;year;growth_season;N_fert_min;N_fert_man;N_fix;N_dep_image;N_dep_emep;N_cs;N_spm;N_min;N_hc;N_res;N_place;N_place_depth;N_source;N_time_splits;N_timing1;N_timing2;N_timing3;crop_type;rotation;mn_prec;Prec_avg_crop_gr;Prec_var;tot_prec_crop_gr;Temp_avg_cp_season;ET_avg_gr;irrigation;Depth ;Texture;SOM ;pH;clay;CaCo3 ;N_av_soil ;Total_N ;P_dose;K_dose;ind_type;ind_unit;NUE_value;se_NUE;LSD_NUE;sd_NUE;N_up_fert;LSD_fertup;sd_fertup;se_fertup;n_rep_t;N_up_unfert;LSD_unfertup;sd_unfertup;se_unfertup;n_rep_c;N_appl
4629;34;Wang Xiubin_2016_The;Database of Luncheng;;115,32;38,01;;;;;;;;;;;;;;;;;;;;wheat;;;;;;;;;;;1,1;8;20,3;;;7,7;;;NUEagr;%;24,4;;;;;;;;3;;;;;;210
4630;34;Wang Xiubin_2016_The;Database of Luncheng;;115,32;38,01;;;;;;;;;;;;;;;;;;;;wheat;;;;;;;;;;;1,1;8;20,3;;;7,7;;;NUEagr;%;32,6;;;;;;;;3;;;;;;210
4631;34;Quan Zhi_2017_Fates;Database of Luncheng;;124,82;43,54;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;2,6;7,1;27,4;;;12,8;;;NUEagr;%;37;;;;;;;;4;;;;;;200
4632;34;Liu R_2015_Rice_Chinese;Database of Luncheng;;106,01;38,2;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;1,6;8,3;18,8;;;8,5;;;NUEagr;%;28,4;;;;;;;;3;;;;;;300
4633;34;Liu R_2015_Rice_Chinese;Database of Luncheng;;106,01;38,2;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;1,6;8,3;18,8;;;8,5;;;NUEagr;%;28,4;;;;;;;;3;;;;;;240
4634;34;Liu R_2015_Rice_Chinese;Database of Luncheng;;106,01;38,2;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;1,6;8,3;18,8;;;8,5;;;NUEagr;%;28,4;;;;;;;;3;;;;;;240
4635;34;Li Jumei_2005_Effects_Chinese;Database of Luncheng;;111,86;26,75;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;3,4;5,7;29,4;;;15;;;NUEagr;%;33,2;;;3,6;;;;;4;;;;;;150
4636;34;Li Jumei_2005_Effects_Chinese;Database of Luncheng;;111,86;26,75;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;3,4;5,7;29,4;;;15;;;NUEagr;%;33,2;;;3,6;;;;;4;;;;;;150
4637;34;Meng Lin_2009_Effects_Chinese;Database of Luncheng;;120,9;31,59;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;2,8;7,5;25;;;15,2;;;NUEagr;%;24,7;;;3,6;;;;;3;;;;;;180
4638;34;Meng Lin_2009_Effects_Chinese;Database of Luncheng;;120,9;31,59;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;2,8;7,5;25;;;15,2;;;NUEagr;%;24,7;;;3,6;;;;;3;;;;;;180
4639;34;Meng Lin_2009_Effects_Chinese;Database of Luncheng;;120,9;31,59;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;2,8;7,5;25;;;15,2;;;NUEagr;%;24,7;;;3,6;;;;;3;;;;;;180
4640;34;Meng Lin_2009_Effects_Chinese;Database of Luncheng;;120,9;31,59;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;2,8;7,5;25;;;15,2;;;NUEagr;%;24,7;;;3,6;;;;;3;;;;;;180
4641;34;Meng Lin_2009_Effects_Chinese;Database of Luncheng;;120,9;31,59;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;2,8;7,5;25;;;15,2;;;NUEagr;%;31,8;;;1;;;;;3;;;;;;240
4642;34;Meng Lin_2009_Effects_Chinese;Database of Luncheng;;120,9;31,59;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;2,8;7,5;25;;;15,2;;;NUEagr;%;31,8;;;1;;;;;3;;;;;;240
