obs_no;no;paper;title;country;X;Y;year;growth_season;N_fert_min;N_fert_man;N_fix;N_dep_image;N_dep_emep;N_cs;N_spm;N_min;N_hc;N_res;N_place;N_place_depth;N_source;N_time_splits;N_timing1;N_timing2;N_timing3;crop_type;rotation;mn_prec;Prec_avg_crop_gr;Prec_var;tot_prec_crop_gr;Temp_avg_cp_season;ET_avg_gr;irrigation;Depth ;Texture;SOM ;pH;clay;CaCo3 ;N_av_soil ;Total_N ;P_dose;K_dose;ind_type;ind_unit;NUE_value;se_NUE;LSD_NUE;sd_NUE;N_up_fert;LSD_fertup;sd_fertup;se_fertup;n_rep_t;N_up_unfert;LSD_unfertup;sd_unfertup;se_unfertup;n_rep_c;N_appl
1284;27;Hungria 2010;;Brazil;-51,18;-23,18;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;clay ;NA;5;;;NA;;84;24;NUE(yield/Nrate);;150,6;;;15,93102451;;;;;;;;;;;24
1285;27;Hungria 2010;;Brazil;-51,18;-23,18;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;clay ;NA;5;;;NA;;84;24;NUE(yield/Nrate);;109,3;;;11,56221457;;;;;;;;;;;24
1286;27;Hungria 2010;;Brazil;-51,18;-23,18;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;clay ;NA;5;;;NA;;84;24;NUE(yield/Nrate);;139,7;;;14,78256293;;;;;;;;;;;24
1287;27;Hungria 2010;;Brazil;-51,18;-23,18;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;clay ;NA;5;;;NA;;84;24;NUE(yield/Nrate);;109,3;;;11,56221457;;;;;;;;;;;24
1288;27;Hungria 2010;;Brazil;-51,18;-23,18;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;clay ;NA;5;;;NA;;84;24;NUE(yield/Nrate);;145,9;;;15,44215235;;;;;;;;;;;24
1289;27;Hungria 2010;;Brazil;-51,18;-23,18;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;clay ;NA;5;;;NA;;84;24;NUE(yield/Nrate);;109,3;;;11,56221457;;;;;;;;;;;24
1290;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;109,9;;;11,63205345;;;;;;;;;;;24
1291;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;88,8;;;9,401089231;;;;;;;;;;;24
1292;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;109,6;;;11,60101395;;;;;;;;;;;24
1293;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;88,8;;;9,401089231;;;;;;;;;;;24
1294;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;106;;;11,21302017;;;;;;;;;;;24
1295;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;88,8;;;9,401089231;;;;;;;;;;;24
1296;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;114;;;12,05884661;;;;;;;;;;;24
1297;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;88,8;;;9,401089231;;;;;;;;;;;24
1298;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;118,3;;;12,51667927;;;;;;;;;;;24
1299;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;88,8;;;9,401089231;;;;;;;;;;;24
1300;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;114,4;;;12,10152592;;;;;;;;;;;24
1301;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;88,8;;;9,401089231;;;;;;;;;;;24
1302;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;118,1;;;12,49727958;;;;;;;;;;;24
1303;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;110;;;11,63593339;;;;;;;;;;;24
1304;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;118,2;;;12,50503945;;;;;;;;;;;24
1305;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;110;;;11,63593339;;;;;;;;;;;24
1306;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;134,3;;;14,21609201;;;;;;;;;;;24
1307;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;110;;;11,63593339;;;;;;;;;;;24
1308;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;146,6;;;15,51199123;;;;;;;;;;;24
1309;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;110;;;11,63593339;;;;;;;;;;;24
1310;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;146,7;;;15,52751098;;;;;;;;;;;24
1311;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;110;;;11,63593339;;;;;;;;;;;24
1312;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;138;;;14,60020585;;;;;;;;;;;24
1313;27;Hungria 2010;;Brazil;-50,02;-25,22;;;24;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loam;NA;5,12;;;NA;;84;24;NUE(yield/Nrate);;110;;;11,63593339;;;;;;;;;;;24
1314;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;136,2;;;20,71321768;;;;;;;;;;;20
1315;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;115,6;;;17,58783071;;;;;;;;;;;20
1316;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;132,8;;;20,20458939;;;;;;;;;;;20
1317;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;115,6;;;17,58783071;;;;;;;;;;;20
1318;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;128,9;;;19,60226642;;;;;;;;;;;20
1319;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;115,6;;;17,58783071;;;;;;;;;;;20
1320;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;133,8;;;20,34513142;;;;;;;;;;;20
1321;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;115,6;;;17,58783071;;;;;;;;;;;20
1322;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;141,8;;;21,56316231;;;;;;;;;;;20
1323;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;115,6;;;17,58783071;;;;;;;;;;;20
1324;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;132,6;;;20,171127;;;;;;;;;;;20
1325;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;115,6;;;17,58783071;;;;;;;;;;;20
1326;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;119,3;;;18,14999882;;;;;;;;;;;20
1327;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;104,1;;;15,83440162;;;;;;;;;;;20
1328;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;126,7;;;19,27433503;;;;;;;;;;;20
1329;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;104,1;;;15,83440162;;;;;;;;;;;20
1330;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;117,9;;;17,93583954;;;;;;;;;;;20
1331;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;104,1;;;15,83440162;;;;;;;;;;;20
1332;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;117,7;;;17,90237715;;;;;;;;;;;20
1333;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;104,1;;;15,83440162;;;;;;;;;;;20
1334;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;122,1;;;18,5716249;;;;;;;;;;;20
1335;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;104,1;;;15,83440162;;;;;;;;;;;20
1336;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;117,1;;;17,80868247;;;;;;;;;;;20
1337;27;Hungria 2010;;Brazil;-51,18;-23,18;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;clay ;NA;5;;;NA;;70;40;NUE(yield/Nrate);;104,1;;;15,83440162;;;;;;;;;;;20
1338;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;121,5;;;18,48462269;;;;;;;;;;;20
1339;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;102,1;;;15,53324014;;;;;;;;;;;20
1340;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;102,2;;;15,53993262;;;;;;;;;;;20
1341;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;102,1;;;15,53324014;;;;;;;;;;;20
1342;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;107,4;;;16,33633743;;;;;;;;;;;20
1343;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;102,1;;;15,53324014;;;;;;;;;;;20
1344;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;126,9;;;19,29441246;;;;;;;;;;;20
1345;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;102,1;;;15,53324014;;;;;;;;;;;20
1346;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;121,9;;;18,54485499;;;;;;;;;;;20
1347;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;102,1;;;15,53324014;;;;;;;;;;;20
1348;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;117,1;;;17,81537495;;;;;;;;;;;20
1349;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;102,1;;;15,53324014;;;;;;;;;;;20
1350;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;96,8;;;14,73014285;;;;;;;;;;;20
1351;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;88,6;;;13,47864956;;;;;;;;;;;20
1352;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;92,4;;;14,0608951;;;;;;;;;;;20
1353;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;88,6;;;13,47864956;;;;;;;;;;;20
1354;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;93,1;;;14,15458979;;;;;;;;;;;20
1355;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;88,6;;;13,47864956;;;;;;;;;;;20
1356;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;97,9;;;14,8907623;;;;;;;;;;;20
1357;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;88,6;;;13,47864956;;;;;;;;;;;20
1358;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;99,1;;;15,07145919;;;;;;;;;;;20
1359;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;88,6;;;13,47864956;;;;;;;;;;;20
1360;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;98,5;;;14,97776451;;;;;;;;;;;20
1361;27;Hungria 2010;;Brazil;-50,02;-25,22;;;20;0;;;;;;;;;;;mineral;;;;;springwheat;;;;;;;;;;sandy loam;NA;5,12;;;NA;;70;40;NUE(yield/Nrate);;88,6;;;13,47864956;;;;;;;;;;;20
1362;27;Puente 2013;;Argentina;-58,22;-32,45;;;79,76;0;;;;;;;;;;;mineral;;;;;Paddy;;;;;;;;;;NA;NA;NA;;;NA;;14;0;NUE(yield/Nrate);;116,1;;;17,5280143;;;;;;;;;;;79,76
1363;27;Puente 2013;;Argentina;-58,22;-32,45;;;79,76;0;;;;;;;;;;;mineral;;;;;Paddy;;;;;;;;;;NA;NA;NA;;;NA;;14;0;NUE(yield/Nrate);;109,4;;;10,65664694;;;;;;;;;;;79,76
1364;27;Puente 2013;;Argentina;-58,22;-32,45;;;79,76;0;;;;;;;;;;;mineral;;;;;Paddy;;;;;;;;;;NA;NA;NA;;;NA;;14;0;NUE(yield/Nrate);;117;;;13,2123134;;;;;;;;;;;79,76
1365;27;Puente 2013;;Argentina;-58,22;-32,45;;;79,76;0;;;;;;;;;;;mineral;;;;;Paddy;;;;;;;;;;NA;NA;NA;;;NA;;14;0;NUE(yield/Nrate);;109,4;;;10,65664694;;;;;;;;;;;79,76
1366;27;Puente 2013;;Argentina;-58,22;-32,45;;;79,76;0;;;;;;;;;;;mineral;;;;;Paddy;;;;;;;;;;NA;NA;NA;;;NA;;14;0;NUE(yield/Nrate);;113,9;;;10,10211553;;;;;;;;;;;79,76
1367;27;Puente 2013;;Argentina;-58,22;-32,45;;;79,76;0;;;;;;;;;;;mineral;;;;;Paddy;;;;;;;;;;NA;NA;NA;;;NA;;14;0;NUE(yield/Nrate);;109,4;;;10,65664694;;;;;;;;;;;79,76
1368;27;Puente 2013;;Argentina;-58,22;-32,45;;;79,76;0;;;;;;;;;;;mineral;;;;;Paddy;;;;;;;;;;NA;NA;NA;;;NA;;14;0;NUE(yield/Nrate);;117,3;;;6,991917673;;;;;;;;;;;79,76
1369;27;Puente 2013;;Argentina;-58,22;-32,45;;;79,76;0;;;;;;;;;;;mineral;;;;;Paddy;;;;;;;;;;NA;NA;NA;;;NA;;14;0;NUE(yield/Nrate);;109,4;;;10,65664694;;;;;;;;;;;79,76
1370;27;Puente 2013;;Argentina;-58,22;-32,45;;;79,76;0;;;;;;;;;;;mineral;;;;;Paddy;;;;;;;;;;NA;NA;NA;;;NA;;14;0;NUE(yield/Nrate);;114;;;12,87477254;;;;;;;;;;;79,76
1371;27;Puente 2013;;Argentina;-58,22;-32,45;;;79,76;0;;;;;;;;;;;mineral;;;;;Paddy;;;;;;;;;;NA;NA;NA;;;NA;;14;0;NUE(yield/Nrate);;109,4;;;10,65664694;;;;;;;;;;;79,76
1372;27;Araujo 2015;;Brazil;-54,15;-22,23;;;30;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;clay;3,118;4,82;;;NA;;26,18;49,8;NUE(yield/Nrate);;279,6;;;29,58607752;;;;;;;;;;;30
1373;27;Araujo 2015;;Brazil;-54,15;-22,23;;;30;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;clay;3,118;4,82;;;NA;;26,18;49,8;NUE(yield/Nrate);;272,9;;;28,87310015;;;;;;;;;;;30
1374;27;Araujo 2015;;Brazil;-54,15;-22,23;;;30;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;clay;3,118;4,82;;;NA;;26,18;49,8;NUE(yield/Nrate);;267,9;;;28,34937063;;;;;;;;;;;30
1375;27;Araujo 2015;;Brazil;-54,15;-22,23;;;30;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;clay;3,118;4,82;;;NA;;26,18;49,8;NUE(yield/Nrate);;272,9;;;28,87310015;;;;;;;;;;;30
1376;27;Araujo 2015;;Brazil;-54,15;-22,23;;;120;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;clay;3,118;4,82;;;NA;;26,18;49,8;NUE(yield/Nrate);;72,3;;;7,652300397;;;;;;;;;;;120
1377;27;Araujo 2015;;Brazil;-54,15;-22,23;;;120;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;clay;3,118;4,82;;;NA;;26,18;49,8;NUE(yield/Nrate);;74,4;;;7,873573248;;;;;;;;;;;120
1378;27;Araujo 2015;;Brazil;-54,15;-22,23;;;120;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;clay;3,118;4,82;;;NA;;26,18;49,8;NUE(yield/Nrate);;72,3;;;7,649863796;;;;;;;;;;;120
1379;27;Araujo 2015;;Brazil;-54,15;-22,23;;;120;0;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;clay;3,118;4,82;;;NA;;26,18;49,8;NUE(yield/Nrate);;74,4;;;7,873573248;;;;;;;;;;;120
1380;27;Meena 2013;;India;77,2;28,67;;;80;0;;;;;;;;;;;mineral;;;;;Paddy;;;;;;;;;;NA;0,89;7,7;;;145,3;;26,18;49,8;NUE(yield/Nrate);;46,5;;;6,597219291;;;;;;;;;;;80
1381;27;Meena 2013;;India;77,2;28,67;;;80;0;;;;;;;;;;;mineral;;;;;Paddy;;;;;;;;;;NA;0,89;7,7;;;145,3;;26,18;49,8;NUE(yield/Nrate);;46;;;6,519237976;;;;;;;;;;;80
1382;27;Meena 2013;;India;77,2;28,67;;;80;0;;;;;;;;;;;mineral;;;;;Paddy;;;;;;;;;;NA;0,89;7,7;;;145,3;;26,18;49,8;NUE(yield/Nrate);;47,9;;;6,784374449;;;;;;;;;;;80
1383;27;Meena 2013;;India;77,2;28,67;;;80;0;;;;;;;;;;;mineral;;;;;Paddy;;;;;;;;;;NA;0,89;7,7;;;145,3;;26,18;49,8;NUE(yield/Nrate);;46;;;6,519237976;;;;;;;;;;;80
1384;27;Meena 2013;;India;77,2;28,67;;;80;0;;;;;;;;;;;mineral;;;;;Paddy;;;;;;;;;;NA;0,89;7,7;;;145,3;;26,18;49,8;NUE(yield/Nrate);;49,8;;;7,065107184;;;;;;;;;;;80
1385;27;Meena 2013;;India;77,2;28,67;;;80;0;;;;;;;;;;;mineral;;;;;Paddy;;;;;;;;;;NA;0,89;7,7;;;145,3;;26,18;49,8;NUE(yield/Nrate);;46;;;6,519237976;;;;;;;;;;;80
1386;27;Meena 2013;;India;77,2;28,67;;;80;0;;;;;;;;;;;mineral;;;;;Paddy;;;;;;;;;;NA;0,89;7,7;;;145,3;;26,18;49,8;NUE(yield/Nrate);;50,4;;;7,1430885;;;;;;;;;;;80
1387;27;Meena 2013;;India;77,2;28,67;;;80;0;;;;;;;;;;;mineral;;;;;Paddy;;;;;;;;;;NA;0,89;7,7;;;145,3;;26,18;49,8;NUE(yield/Nrate);;46;;;6,519237976;;;;;;;;;;;80
1388;27;Meena 2013;;India;77,2;28,67;;;80;37,5;;;;;;;;;;;mix;;;;;Paddy;;;;;;;;;;NA;0,89;7,7;;;145,3;;26,18;49,8;NUE(yield/Nrate);;34,9;;;4,948329263;;;;;;;;;;;117,5
1389;27;Meena 2013;;India;77,2;28,67;;;80;37,5;;;;;;;;;;;mix;;;;;Paddy;;;;;;;;;;NA;0,89;7,7;;;145,3;;26,18;49,8;NUE(yield/Nrate);;34;;;4,820904475;;;;;;;;;;;117,5
1390;27;Meena 2013;;India;77,2;28,67;;;80;37,5;;;;;;;;;;;mix;;;;;Paddy;;;;;;;;;;NA;0,89;7,7;;;145,3;;26,18;49,8;NUE(yield/Nrate);;35,1;;;4,98018546;;;;;;;;;;;117,5
1391;27;Meena 2013;;India;77,2;28,67;;;80;37,5;;;;;;;;;;;mix;;;;;Paddy;;;;;;;;;;NA;0,89;7,7;;;145,3;;26,18;49,8;NUE(yield/Nrate);;34;;;4,820904475;;;;;;;;;;;117,5
1392;27;Meena 2013;;India;77,2;28,67;;;80;37,5;;;;;;;;;;;mix;;;;;Paddy;;;;;;;;;;NA;0,89;7,7;;;145,3;;26,18;49,8;NUE(yield/Nrate);;35,8;;;5,075754051;;;;;;;;;;;117,5
